temp,beat_rate,acclimitisation_temp
5,3.76,5
6,5.4,5
7,8,5
10,9.4,5
11,16.6,5
12,18.5,5
13,19,5
15,22.4,5
16,24.1,5
17,22.7,5
19,30.9,5
20,26.4,5
22,32.1,5
23,38.6,5
25,42.5,5
5,4.9108,10
6,4.6255,10
7.5,6.9975,10
8,11.3654,10
9,10.6462,10
12.3,18.2671,10
14.5,19.6633,10
15,17.9219,10
18,29.151,10
19,30.5581,10
20,30.5745,10
22,34.7913,10
23.5,31.5493,10
24,40.2992,10
25,42.7285,10
5.5,2.2451,20
6,5.0023,20
7,2.0581,20
9.5,5.7884,20
10,3.8272,20
12.5,7.7031,20
14,9.7238,20
16,14.8499,20
17,12.661,20
19.5,14.1365,20
21.5,14.5336,20
22,16.0512,20
23,21.568,20
24,22.3807,20
25.5,22.8027,20
