Believe	Age	Gender	Presents	Behaviour
FALSE	9	male	25	naughty
TRUE	5	male	20	nice
TRUE	4	female	30	nice
TRUE	4	male	34	naughty
FALSE	10	female	27	nice
FALSE	10	female	43	naughty
TRUE	4	male	21	naughty
TRUE	6	male	23	naughty
TRUE	8	female	32	nice
FALSE	8	female	17	nice
TRUE	5	male	41	naughty
FALSE	7	male	26	naughty
FALSE	9	female	35	nice
FALSE	10	female	29	nice
TRUE	5	male	20	nice
TRUE	5	male	15	nice
TRUE	4	male	15	naughty
FALSE	8	male	14	nice
TRUE	9	female	25	nice
FALSE	7	female	26	naughty
FALSE	8	male	19	naughty
FALSE	8	female	32	nice
TRUE	9	male	15	naughty
TRUE	5	female	27	naughty
TRUE	6	female	26	nice
TRUE	4	male	29	nice
FALSE	10	male	31	nice
FALSE	9	female	30	naughty
FALSE	9	female	46	nice
TRUE	5	female	15	naughty
FALSE	7	male	17	naughty
FALSE	8	female	22	nice
FALSE	8	female	34	naughty
TRUE	4	female	19	naughty
TRUE	5	male	27	nice
TRUE	6	male	32	nice
FALSE	7	male	12	naughty
FALSE	10	female	20	nice
FALSE	9	female	34	naughty
FALSE	8	male	26	naughty
TRUE	5	female	38	nice
TRUE	4	male	42	nice
FALSE	8	male	35	nice
FALSE	9	male	26	naughty
TRUE	6	male	34	naughty
TRUE	4	male	34	naughty
TRUE	4	female	23	naughty
FALSE	7	female	27	naughty
TRUE	10	male	57	nice
FALSE	4	male	3	naughty
