sample.no	specimen	year	month	weight	sex	maturity.stage	DML	eviscerate.weight	dig.weight	nid.length	nid.weight	ovary.weight
105128901	1002	1989	12	152	2	3	174	87.5	4.648	39.4	2.46	1.68
105128901	1003	1989	12	105.9	2	1	153	62.6	3.138	24.1	0.319	0.103
105128901	1005	1989	12	138.4	2	2	169	79.4	0.307	39	1.169	0.289
105128901	1007	1989	12	140.8	2	2	175	83.1	4.123	41.4	1.631	0.252
105128901	1008	1989	12	126.2	2	3	169	72.2	3.605	39.8	2.03	0.86
105128901	1009	1989	12	54.3	2	1	116	30.2	1.092	20	0.148	0.016
105128901	1011	1989	12	81.2	2	2	135	46.6	2.168	14	0.252	0.043
105128901	1013	1989	12	182.7	2	3	192	107.7	2.026	55	5.614	5.84
105128901	1014	1989	12	141.6	2	3	170	72.3	2.731	44	2.557	1.846
105128901	1017	1989	12	218	2	4	205	121.8	4.916	53	6.062	4.097
105128901	1020	1989	12	194.2	2	3	190	126.7	2.977	430.2	2.939	1.196
105128901	1023	1989	12	182.4	2	4	170	113.2	3.021	51	6.04	4.027
116019001	1003	1990	1	401	2	4	257	187	16.05	80	18.858	21.072
116019001	1005	1990	1	693	2	5	323	347	22.241	100	28.727	47.79
119019001	1001	1990	1	354.6	2	4	246	171.7	12.6	84	18.3	19.4
100039001	1001	1990	3	311	2	4	240	169	10.223	70	9.831	12.881
100039001	1003	1990	3	297	2	4	225	142	5.931	85	16.298	21.15
100039001	1004	1990	3	339	2	5	234	167	7.93	83	17.176	25.55
100039001	1006	1990	3	258	2	4	209	126	3.784	80	13.391	12.816
100039001	1007	1990	3	397	2	5	250	198	11.075	83	15.044	21.37
100039001	1010	1990	3	504	2	4	272	221	13.044	96	35.42	29.39
102039001	1001	1990	3	132	2	4	159	60	3.36	53	5.421	7.59
102039001	1002	1990	3	224	2	5	205	100	5.93	76	10.073	16.3
102039001	1003	1990	3	331	2	5	250	162	9.71	93	15.499	23.52
102039002	1001	1990	3	220	2	5	205	99	5.293	74	12.712	14.76
102039002	1003	1990	3	301	2	5	223	146	7.674	76	16.046	21.92
102039002	1005	1990	3	367	2	5	233	169	9.23	87	23.003	32.77
104039001	1001	1990	3	249	2	4	216	114	3.768	70	11.656	21.365
104039001	1002	1990	3	304	2	5	223	147	6.871	96	19.79	21.077
104039002	1001	1990	3	400	2	4	255	206	9.94	89	20.593	30.042
104039003	1002	1990	3	349	2	5	250	163	7.074	90	19.264	27.284
106039001	1001	1990	3	454	2	4	264	213	14.547	90	26.35	29.95
106039001	1003	1990	3	244	2	5	215	111	5.453	71	13.752	15.3
106039001	1004	1990	3	460	2	5	255	220	13.46	102	31.795	36.89
106039002	1001	1990	3	351	2	5	244	179	6.776	87	18.604	24.109
106039002	1002	1990	3	317	2	5	222	145	8.005	76	18.871	18.653
106039003	1009	1990	3	392	2	4	266	179	9.703	93	22.848	27.91
108039001	1001	1990	3	562	2	5	286	287	14.628	105	34.46	36.46
108039001	1002	1990	3	302	2	5	234	145	8.75	85	14.176	23.79
108039001	1003	1990	3	394	2	5	251	188	10.62	87	20.73	31.63
108039001	1004	1990	3	503	2	4	280	241	12.436	99	31.97	33.6
108039001	1005	1990	3	396	2	4	257	193	9.828	92	18.7	33.98
108039001	1007	1990	3	248	2	5	217	116	5.424	84	17.837	12.484
108039001	1010	1990	3	297	2	5	234	143	5.85	81	15.875	18.77
108039001	1011	1990	3	258	2	5	222	116	8.021	82	14.44	23.725
